movie_id,title,release_date,decade,genre
335984,Blade Runner 2049,2017-10-04,2010,Drama
346364,It,2017-09-06,2010,Drama
146233,Prisoners,2013-09-19,2010,Drama
64690,Drive,2011-09-15,2010,Drama
451915,Beautiful Boy,2018-10-12,2010,Drama
503919,The Lighthouse,2019-10-18,2010,Drama
376867,Moonlight,2016-10-21,2010,Drama
473033,Uncut Gems,2019-08-30,2010,Drama
530915,1917,2019-12-25,2010,Drama
242582,Nightcrawler,2014-10-23,2010,Drama
531428,Portrait of a Lady on Fire,2019-09-06,2010,Drama
122906,About Time,2013-09-04,2010,Drama
49026,The Dark Knight Rises,2012-07-17,2010,Drama
447332,A Quiet Place,2018-04-03,2010,Drama
526667,The Witch,2015-06-23,2010,Drama
286217,The Martian,2015-09-30,2010,Drama
424694,Bohemian Rhapsody,2018-10-24,2010,Drama
372058,Your Name.,2016-08-26,2010,Drama
492188,Marriage Story,2019-09-28,2010,Drama
254320,The Lobster,2015-10-15,2010,Drama
64682,The Great Gatsby,2013-05-09,2010,Drama
394117,The Florida Project,2017-10-06,2010,Drama
334541,Manchester by the Sea,2016-11-17,2010,Drama
389015,"I, Tonya",2017-12-07,2010,Drama
